CIK,Fund,Manager,Denomination,CIKs,URL,Fund_zh,Manager_zh,Description,Description_zh,Popularity
1536411,Duquesne,Stanley Druckenmiller,Duquesne Family Office LLC,,https://www.duquesnefamily.com/,,,,,0
1015083,Emerald,Kenneth Mertz II,"Emerald Advisers, LLC",,https://www.teamemerald.com/,,,,,0
1352895,Emerald Mutual,Scott Rehr,Emerald Mutual Fund Advisers Trust,,https://www.emeraldmutualfunds.com/,,,,,0
1910874,Eschler,Theron de Ris,Eschler Asset Management LLP,,https://eschlerasset.com/,,,,,0
1660531,FengHe,Kwek Hyen Yong,FengHe Fund Management Pte. Ltd.,,https://www.fenghegroup.com/,,,,,0
1701717,First Beijing,Thomas Wong,First Beijing Investment Ltd,,https://www.firstbeijing.com/,,,,,0
1861705,Flight Deck,Jay Kahn,"Flight Deck Capital, LP",,https://flightdeckcap.com/,,,,,0
315066,FMR,Abigail Johnson,FMR LLC,,https://www.fidelity.com/,,,,,0
1718251,Fortress,Joe Grabar,"Fortress Private Ledger, LLC",,https://www.fortressfinancialpartners.com/,,,,,0
1897652,FourSixThree,Scott Balkan,FourSixThree Capital LP,,https://463cap.com/,,,,,0
3520,Fred Alger,Fred Alger,"Fred Alger Management, LLC",,https://www.alger.com/,,,,,0
2118292,Galaxy Digital,Michael Novogratz,Galaxy Digital Capital Management GP LLC,,https://www.galaxy.com/,,,,,0
1570284,Gator,Derek Pilecki,"Gator Capital Management, LLC",,https://gatorcapital.com/,,,,,0
1963404,Gavilan,Louis Chang,Gavilan Investment Partners LLC,,https://www.gavilanpartners.com/,,,,,0
1056581,Gendell Jeffrey,Gendell Jeffrey,Jeffrey L. Gendell,948904.0,,,,,,0
1700362,General Equity,Andrew Bellas,General Equity Holdings LP,,https://www.geholdings.com/,,,,,0
2043130,Generali Poland,Kazimierz Fedak,Generali Investments Towarzystwo Funduszy Inwestycyjnych,,https://www.generali-investments.pl/,,,,,0
1740316,Gifford Fong,Steven Fong,Gifford Fong Associates,,https://www.gfong.net/,,,,,0
1872787,Goldstream,Ziqi Gao,Goldstream Capital Management Ltd,,,,,,,0
2018973,Goodlander,John Labanowski,"Goodlander Investment Management, LLC",,https://www.goodlanderim.com/,,,,,0
1869164,Gordian,Mark Voumard,Gordian Capital Singapore Private Ltd,,https://www.gordiancapital.com/,,,,,0
1715783,Grace & Mercy,Sumi Kim,"Grace And Mercy Foundation, Inc.",,https://www.graceandmercy.org/,,,,,0
1986124,Grand Alliance,Jonathan Malveaux,Grand Alliance Asset Management Ltd,,https://www.gaamhk.com/,,,,,0
1840735,Greenoaks,Neil Mehta,Greenoaks Capital Partners LLC,,https://greenoakscap.com/,,,,,0
1845565,Greenstone,Gregory Tusher,"Greenstone Partners & Co., LLC",,,,,,,0
1439805,Greenwich,Michael Freeburg,Greenwich Wealth Management LLC,,https://www.greenwichwealth.com/,,,,,0
2017993,Hancock Prospecting,Garry Korte,Hancock Prospecting Pty Ltd,,https://www.hancockprospecting.com.au/,,,,,0
1082621,Harvard,Narv Narvekar,Harvard Management Co Inc,,https://www.hmc.harvard.edu/,,,,,0
2036346,Headwater,Robert Kantor,Headwater Capital Co Ltd,,https://headwatercapital.com/,,,,,0
1839497,Helikon,David Grazzini,Helikon Investments Limited,,https://www.helikoninvestments.com/,,,,,0
1995612,Helix,Jonathan Heller,Helix Partners Management LP,,https://www.helixpartners.com/,,,,,0
1512022,Herald,Katie Potts,Herald Investment Management Ltd,,https://www.heralduk.com/,,,,,0
